{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 1.5, 'error1': 1293.3107528811965, 'error2': 0.062235808314362054, 'error3': 104.58859158266398}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 2.0, 'error1': 1490.7094807179988, 'error2': 0.05943689074878506, 'error3': 148.92511098892288}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 2.5, 'error1': 1702.3073936894098, 'error2': 0.04676896109473876, 'error3': 217.77433785003413}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 3.0, 'error1': 1336.5855928895467, 'error2': 0.041855761050238256, 'error3': 198.7688410735392}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 3.5, 'error1': 1173.499830682838, 'error2': 0.03909426396772845, 'error3': 201.36957772177576}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 4.0, 'error1': 1162.7936393056966, 'error2': 0.037371297862879786, 'error3': 211.57766196675848}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 4.5, 'error1': 1237.9761793370271, 'error2': 0.035896767830002244, 'error3': 197.9319411681248}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 5.0, 'error1': 1152.7426886971032, 'error2': 0.034851741912520016, 'error3': 186.93974494754465}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 5.5, 'error1': 1095.5903702027856, 'error2': 0.0337930533384833, 'error3': 155.60219489833696}
{'bandwidths': [0.1, 0.1, 0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 6.0, 'error1': 1059.3842047458368, 'error2': 0.03389130346779165, 'error3': 145.8624405610814}
