{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 6.0, 'error1': 726.9601521302845, 'error2': 0.02747235052839638, 'error3': 71.7738655520178}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 6.5, 'error1': 725.4842039911705, 'error2': 0.0270805855076153, 'error3': 52.14565929755752}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 7.0, 'error1': 848.9034911335483, 'error2': 0.028597658866383387, 'error3': 102.99749709949418}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.0, 'xy_weight': 7.5, 'error1': 738.836582594967, 'error2': 0.029194158420459703, 'error3': 102.5160277604475}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.5, 'xy_weight': 0.5, 'error1': 731.0219612254269, 'error2': 0.016052974951890918, 'error3': 23.243099426530367}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.5, 'xy_weight': 1.0, 'error1': 757.0470132062743, 'error2': 0.020205894774146953, 'error3': 27.01732456722199}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.5, 'xy_weight': 1.5, 'error1': 637.9068474162656, 'error2': 0.020035149149406926, 'error3': 29.207258475097902}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.5, 'xy_weight': 2.0, 'error1': 566.3307329551078, 'error2': 0.0200548827473425, 'error3': 15.041586022213144}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.5, 'xy_weight': 2.5, 'error1': 465.3353047527024, 'error2': 0.021697159335194508, 'error3': 35.05796526113427}
{'bandwidths': [0.1, 0.1], 'alpha': 0.7, 'beta': 0.2, 'method': 'gaussian_kernel', 'velocity_weight': 0.5, 'pixel_value_weight': 3.5, 'xy_weight': 3.0, 'error1': 362.1647424179175, 'error2': 0.022384047958907118, 'error3': 30.446074496004407}
